Synset,isBasic_percentage,IsNotHard_percentage,TimeDiffs_sum,TimeDiffs_average,Depth
double_blind.n.01,0.0,1.0,25.442999999999998,2.5443,
doubleton.n.01,0.0,1.0,24.699,2.4699,
draft_board.n.01,0.2,1.0,23.59,2.359,
dwelling.n.01,0.0,1.0,46.384,4.6384,0.35
dynamism.n.03,0.2,0.9,24.572000000000003,2.4572000000000003,0.25
early-morning_hour.n.01,0.0,1.0,18.289,1.8289000000000002,
earning_per_share.n.01,0.0,1.0,26.262,2.6262,
earth.n.02,1.0,1.0,14.888,1.4888,0.3
eastern_church.n.02,0.0,1.0,29.957,2.9957000000000003,
edition.n.03,0.9,0.9,17.481,1.7481000000000002,0.55
education.n.01,0.9,0.9,26.522000000000002,2.6522,0.3
effect.n.06,1.0,1.0,16.686,1.6686,0.35
end.n.11,1.0,1.0,11.274000000000001,1.1274000000000002,0.4
enfilade.n.01,0.0,1.0,17.538,1.7538,0.4
esteem.n.01,0.1,1.0,30.468,3.0468,0.35
estimate.n.01,0.6,1.0,46.611,4.661099999999999,0.45
examination.n.02,0.3,1.0,25.410999999999998,2.5410999999999997,0.3
executive_clemency.n.01,0.0,1.0,25.168,2.5168,
exemplar.n.01,0.4,0.9,52.754,5.275399999999999,0.35
experience.n.02,1.0,1.0,15.256,1.5256,0.25
exploitation.n.01,0.2,0.9,31.314,3.1314,0.35
eye-beaming.n.01,0.0,1.0,23.997,2.3997,
eye.n.01,1.0,1.0,8.713,0.8713,0.35
fabric.n.01,0.5,0.9,62.809,6.2809,0.25
face.n.01,1.0,1.0,12.162,1.2162000000000002,0.3
fact.n.01,1.0,1.0,11.61,1.161,0.25
fall.n.06,1.0,1.0,10.519,1.0519,0.4
family.n.08,1.0,1.0,12.43,1.2429999999999999,0.3
feeling.n.06,1.0,1.0,12.905,1.2905,0.35
fiefdom.n.01,0.0,1.0,28.927,2.8927,0.3
field.n.01,1.0,1.0,8.934,0.8934,0.35
fight.n.02,1.0,1.0,14.708,1.4708,0.35
fire.n.02,0.9,1.0,10.896,1.0896000000000001,0.4
flower.n.03,1.0,1.0,10.528,1.0528,0.25
footrace.n.01,0.0,1.0,23.481,2.3481,0.35
fork.n.03,1.0,1.0,15.013,1.5013,0.35
form.n.03,1.0,1.0,45.567,4.5567,0.25
founder.n.02,0.8,1.0,37.352,3.7352,0.45
fresco.n.01,0.4,1.0,40.517,4.0517,0.5
friend.n.01,1.0,1.0,11.315999999999999,1.1316,0.35
front.n.04,0.9,1.0,23.094,2.3094,0.35
fun.n.02,1.0,1.0,45.972,4.5972,0.25
function.n.03,0.9,0.8,227.025,22.7025,0.4
gazette.n.01,0.1,1.0,28.07,2.807,0.5
gibson_girl.n.01,0.0,1.0,12.222999999999999,1.2223,
glissade.n.01,0.0,1.0,22.192,2.2192,0.5
glow.n.05,0.5,0.9,136.774,13.6774,0.55
godhead.n.01,0.0,1.0,36.332,3.6332,0.4
golden_age.n.01,0.3,1.0,20.003,2.0003,
grave.n.01,0.7,1.0,23.058,2.3058,0.3
greece.n.02,0.5,1.0,14.849,1.4849,0.5
ground.n.05,0.8,0.9,119.839,11.9839,0.3
guess.n.02,0.9,1.0,13.414,1.3414,0.5
habit.n.02,0.9,0.9,19.191,1.9190999999999998,0.45
hairy_tongue.n.01,0.0,1.0,16.438,1.6438,
hammerlock.n.01,0.0,0.9,35.471999999999994,3.5471999999999992,0.55
handle.n.01,0.8,1.0,68.517,6.851699999999999,0.25
handwriting.n.01,0.6,0.9,22.96,2.2960000000000003,0.25
head.n.04,1.0,1.0,10.715,1.0715,0.4
heading.n.01,0.3,1.0,38.706999999999994,3.8706999999999994,0.4
hearing.n.05,0.5,1.0,35.528,3.5528,0.4
hegemon.n.01,0.0,1.0,20.061999999999998,2.0061999999999998,0.45
helpmate.n.01,0.3,0.8,32.574,3.2573999999999996,0.45
hermitage.n.01,0.2,1.0,14.871,1.4871,0.4
higher_law.n.01,0.1,0.8,34.332,3.4332000000000003,
hired_hand.n.01,0.0,1.0,34.677,3.4677,0.55
hit.n.03,1.0,1.0,16.706,1.6705999999999999,0.45
holy_order.n.01,0.1,1.0,22.763,2.2763,0.25
holy_year.n.01,0.1,1.0,21.811,2.1811,
homo.n.02,0.7,0.9,22.972,2.2972,0.65
homo_sapiens.n.01,0.4,0.9,19.797,1.9797,
hope.n.02,1.0,1.0,18.032,1.8032,0.25
hosanna.n.01,0.0,1.0,619.33,61.93300000000001,0.3
hose.n.03,0.3,1.0,84.44,8.443999999999999,0.45
hour.n.02,1.0,1.0,10.827,1.0827,0.4
house.n.05,1.0,1.0,10.271,1.0271000000000001,0.35
human_body.n.01,0.8,0.8,26.12,2.612,0.3
hypothesis.n.02,0.3,0.9,25.267,2.5267,0.35
illustration.n.01,0.4,0.9,31.793,3.1793,0.25
impudence.n.01,0.2,1.0,18.267,1.8267,0.25
incandescence.n.02,0.0,1.0,15.061,1.5061,0.3
incipiency.n.01,0.0,1.0,28.509,2.8509,
increase.n.03,0.8,1.0,15.296000000000001,1.5296,0.15
infantry.n.01,0.2,1.0,22.081,2.2081,0.4
instruction.n.04,0.9,1.0,33.655,3.3655,0.35
interest.n.03,1.0,0.9,72.767,7.2767,0.25
intrigue.n.01,0.0,0.9,28.959,2.8959,0.5
inversion.n.08,0.7,1.0,43.69,4.369,0.4
island.n.01,1.0,1.0,11.774,1.1774,0.2
issue.n.02,0.9,0.9,20.811,2.0811,0.5
jihad.n.01,0.3,0.9,25.964,2.5964,0.4
jocosity.n.01,0.0,1.0,20.576,2.0576,0.3
jotter.n.01,0.0,0.9,30.174999999999997,3.0174999999999996,
judge.n.01,0.9,0.9,32.344,3.2344,0.5
judgment.n.01,0.9,0.9,21.714,2.1713999999999998,0.35
juggernaut.n.01,0.0,1.0,12.309000000000001,1.2309,0.2
justification.n.01,0.4,1.0,33.622,3.3622,0.3
kernel.n.03,0.0,1.0,31.148,3.1148,0.25
kin.n.01,0.2,0.7,69.867,6.986700000000001,0.4
kind.n.01,1.0,1.0,16.035,1.6035,0.4
koinonia.n.01,0.0,1.0,13.155999999999999,1.3155999999999999,
